schema,table_name,rls_enabled,rls_forced
public,app_settings,true,false
public,asset_service_log,true,false
public,assets,true,false
public,budgets,true,false
public,buildings,true,false
public,calendar_events,true,false
public,categories,true,false
public,contact_roles,true,false
public,contacts,true,false
public,pm_schedule,true,false
public,profiles,true,false
public,projects,true,false
public,quotes,true,false
public,room_types,true,false
public,rooms,true,false
public,service_history,true,false
public,supplies,true,false
public,supply_categories,true,false
public,supply_requests,true,false
public,utility_readings,true,false
public,vendor_invoices,true,false
public,wo_comments,true,false
public,work_orders,true,false
